"ActionKey","Feature","Kind","Context","AdminGrantable","Status","Gate","Risk","DatabaseRisk","Requires","Screens","Guard","CurrentScope"
"identity.profile.update","FX-01","COMMAND","CONTROL","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX01-S05","Giữ email cũ đến khi verify; đổi timezone giữ instants/all-day; thay credential revoke theo security policy; Đúng principal hoặc token một lần; không chấp nhận Role/OwnerId từ request","true"
"identity.profile.change_email","FX-01","COMMAND","CONTROL","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX01-S05;FX01-S06","Giữ email cũ đến khi verify; đổi timezone giữ instants/all-day; thay credential revoke theo security policy; Đúng principal hoặc token một lần; không chấp nhận Role/OwnerId từ request","true"
"identity.profile.change_password","FX-01","COMMAND","CONTROL","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX01-S05;FX01-S06","Giữ email cũ đến khi verify; đổi timezone giữ instants/all-day; thay credential revoke theo security policy; Đúng principal hoặc token một lần; không chấp nhận Role/OwnerId từ request","true"
"identity.mfa.enroll","FX-01","COMMAND","CONTROL","false","Blocked","Q-02-R: enabled-MFA recovery policy before release; TOTP method confirmed","Security","Administrative","","FX01-S06","Google Authenticator TOTP confirmed by PO; optional enrollment; email recovery when MFA off; enabled MFA cannot be disabled via password reset","false"
"identity.mfa.remove","FX-01","COMMAND","CONTROL","false","Blocked","Q-02-R: enabled-MFA recovery policy before release; TOTP method confirmed","Security","Administrative","","FX01-S06","Google Authenticator TOTP confirmed by PO; optional enrollment; email recovery when MFA off; enabled MFA cannot be disabled via password reset","false"
"identity.mfa.recover","FX-01","COMMAND","CONTROL","false","Blocked","Q-02-R: enabled-MFA recovery policy before release; TOTP method confirmed","Security","Administrative","","FX01-S06","Google Authenticator TOTP confirmed by PO; optional enrollment; email recovery when MFA off; enabled MFA cannot be disabled via password reset","false"
"identity.account.delete_request","FX-01","COMMAND","CONTROL","false","Superseded","Replaced by identity.account.soft_delete; no delayed-purge policy","Destructive","Administrative","","FX01-S06","Never activate historical account purge/grace proposal","false"
"access.user.read","FX-02","QUERY","ADMIN","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX02-S01;FX02-S02","SuperAdmin hoặc Admin với operational grant cụ thể; không private business payload; SuperAdmin hoặc Admin với operational grant cụ thể; không private business payload","true"
"access.permission.read","FX-02","QUERY","ADMIN","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX02-S04","SuperAdmin trong grant editor; Admin chỉ own effective rights hoặc target metadata đã có access.user.read; SuperAdmin hoặc Admin với operational grant cụ thể; không private business payload","true"
"access.role.set","FX-02","COMMAND","SUPER","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX02-S03","SuperAdmin-only; preview diff; không mất last active SuperAdmin; audit và current revision; SuperAdmin hoặc Admin với operational grant cụ thể; không private business payload","true"
"access.permission.set","FX-02","COMMAND","SUPER","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX02-S04","SuperAdmin-only; preview diff; không mất last active SuperAdmin; audit và current revision; SuperAdmin hoặc Admin với operational grant cụ thể; không private business payload","true"
"access.entitlement.set","FX-02","COMMAND","SUPER","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX02-S05","SuperAdmin-only; preview diff; không mất last active SuperAdmin; audit và current revision; SuperAdmin hoặc Admin với operational grant cụ thể; không private business payload","true"
"access.user.disable","FX-02","COMMAND","SUPER","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX02-S02","SuperAdmin-only; preview diff; không mất last active SuperAdmin; audit và current revision; SuperAdmin hoặc Admin với operational grant cụ thể; không private business payload","true"
"access.user.enable","FX-02","COMMAND","SUPER","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX02-S02","SuperAdmin-only; preview diff; không mất last active SuperAdmin; audit và current revision; SuperAdmin hoặc Admin với operational grant cụ thể; không private business payload","true"
"access.user.revoke_sessions","FX-02","COMMAND","SUPER","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX02-S02","SuperAdmin-only; target rõ ràng, audit; không impersonate; SuperAdmin hoặc Admin với operational grant cụ thể; không private business payload","true"
"access.change.read","FX-02","QUERY","SUPER","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX02-S03;FX02-S04;FX02-S05","SuperAdmin-only; preview không mutation, commit phải check lại; SuperAdmin hoặc Admin với operational grant cụ thể; không private business payload","true"
"modules.catalog.read","FX-03","QUERY","ADMIN","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX03-S01;FX03-S02","Installed manifest hợp lệ, dependency/version được kiểm tra; disable không purge; Installed manifest hợp lệ, dependency/version được kiểm tra; disable không purge","true"
"modules.policy.enable","FX-03","COMMAND","SUPER","false","Resolved delegated","DEC-20260907-Q03/Q06/Q07; technical scope gate","Security","Administrative","","FX03-S02;FX03-S03","SuperAdmin-only; preview dependency/affected users; không tự đổi existing grants khi sửa defaults; Installed manifest hợp lệ, dependency/version được kiểm tra; disable không purge; paused FX30/34/35 cannot be enabled by grant/defaults; sharing disable increments epoch and permanently invalidates old links","true"
"modules.policy.disable","FX-03","COMMAND","SUPER","false","Resolved delegated","DEC-20260907-Q03/Q06/Q07; technical scope gate","Security","Administrative","","FX03-S02;FX03-S03","SuperAdmin-only; preview dependency/affected users; không tự đổi existing grants khi sửa defaults; Installed manifest hợp lệ, dependency/version được kiểm tra; disable không purge; paused FX30/34/35 cannot be enabled by grant/defaults; sharing disable increments epoch and permanently invalidates old links","true"
"modules.policy.defaults","FX-03","COMMAND","SUPER","false","Resolved delegated","DEC-20260907-Q03/Q06/Q07; technical scope gate","Security","Administrative","","FX03-S04","SuperAdmin-only; preview dependency/affected users; không tự đổi existing grants khi sửa defaults; Installed manifest hợp lệ, dependency/version được kiểm tra; disable không purge; paused FX30/34/35 cannot be enabled by grant/defaults; sharing disable increments epoch and permanently invalidates old links","true"
"modules.policy.sharing","FX-03","COMMAND","SUPER","false","Resolved delegated","DEC-20260907-Q03/Q06/Q07; technical scope gate","Security","Administrative","","FX03-S05","SuperAdmin-only; preview dependency/affected users; không tự đổi existing grants khi sửa defaults; Installed manifest hợp lệ, dependency/version được kiểm tra; disable không purge; paused FX30/34/35 cannot be enabled by grant/defaults; sharing disable increments epoch and permanently invalidates old links","true"
"modules.policy.settings","FX-03","COMMAND","SUPER","false","Resolved delegated","DEC-20260907-Q03/Q06/Q07; technical scope gate","Security","Administrative","","FX03-S05","SuperAdmin-only; preview dependency/affected users; không tự đổi existing grants khi sửa defaults; Installed manifest hợp lệ, dependency/version được kiểm tra; disable không purge; paused FX30/34/35 cannot be enabled by grant/defaults; sharing disable increments epoch and permanently invalidates old links","true"
"modules.upgrade.read","FX-03","QUERY","ADMIN","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX03-S02","Deployment metadata/compatibility/checksum; không chạy migration từ UI; Installed manifest hợp lệ, dependency/version được kiểm tra; disable không purge","true"
"modules.runtime.register","FX-03","WORKER","SYSTEM","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Operational","Administrative","","","Trusted deployment/health handler only; không cấp cho Admin/User qua permission matrix; Installed manifest hợp lệ, dependency/version được kiểm tra; disable không purge","true"
"modules.runtime.migrate","FX-03","WORKER","SYSTEM","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Operational","Administrative","","","Trusted deployment/health handler only; không cấp cho Admin/User qua permission matrix; Installed manifest hợp lệ, dependency/version được kiểm tra; disable không purge","true"
"modules.runtime.health","FX-03","WORKER","SYSTEM","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Operational","Administrative","","","Trusted deployment/health handler only; không cấp cho Admin/User qua permission matrix; Installed manifest hợp lệ, dependency/version được kiểm tra; disable không purge","true"
"sharing.link.read","FX-04","QUERY","SELF","true","Resolved delegated","DEC-20260907-Q03; sensitive projection gates still apply","Normal","Normal","","FX04-S01;FX04-S02","Cùng owner resource; link mode/expiry/revoke và source projection hiện tại; Cùng owner resource; link mode/expiry/revoke và source projection hiện tại; deleted owner/source/link or stale SharingEpoch →404; re-enable/restore cannot revive old token; active link management omits invalidated links","true"
"sharing.link.create","FX-04","COMMAND","SELF","true","Resolved delegated","DEC-20260907-Q03; sensitive projection gates still apply","Disclosure","Sensitive","","FX04-S01","Kèm source *.share; create Published Documents only; không đổi source/pinned Resume version bằng Update; Cùng owner resource; link mode/expiry/revoke và source projection hiện tại; deleted owner/source/link or stale SharingEpoch →404; re-enable/restore cannot revive old token; active link management omits invalidated links","true"
"sharing.link.update","FX-04","COMMAND","SELF","true","Resolved delegated","DEC-20260907-Q03; sensitive projection gates still apply","Disclosure","Sensitive","","FX04-S01","Kèm source *.share; create Published Documents only; không đổi source/pinned Resume version bằng Update; Cùng owner resource; link mode/expiry/revoke và source projection hiện tại; deleted owner/source/link or stale SharingEpoch →404; re-enable/restore cannot revive old token; active link management omits invalidated links","true"
"sharing.link.revoke","FX-04","COMMAND","SELF","true","Resolved delegated","DEC-20260907-Q03; sensitive projection gates still apply","Disclosure","Sensitive","","FX04-S02","Kèm source *.share; create Published Documents only; không đổi source/pinned Resume version bằng Update; Cùng owner resource; link mode/expiry/revoke và source projection hiện tại; deleted owner/source/link or stale SharingEpoch →404; re-enable/restore cannot revive old token; active link management omits invalidated links","true"
"sharing.link.resolve","FX-04","QUERY","LINK","false","Resolved delegated","DEC-20260907-Q03; sensitive projection gates still apply","Disclosure","Sensitive","","FX04-S03;FX04-S04","Token + mode/auth/allowlist + owner module + source lifecycle + field projection; không owner.read hoặc viewer module grant bypass; Cùng owner resource; link mode/expiry/revoke và source projection hiện tại; deleted owner/source/link or stale SharingEpoch →404; re-enable/restore cannot revive old token; active link management omits invalidated links","true"
"sharing.link.copy_created","FX-04","LOCAL","SELF","false","Resolved delegated","DEC-20260907-Q03; sensitive projection gates still apply","Disclosure","Sensitive","sharing.link.create","FX04-S01","Chỉ plaintext còn trong authorized creation-result memory; hash-only không reconstruct URL cũ; Cùng owner resource; link mode/expiry/revoke và source projection hiện tại; deleted owner/source/link or stale SharingEpoch →404; re-enable/restore cannot revive old token; active link management omits invalidated links","true"
"support.consent.read","FX-05","QUERY","CONTROL","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX05-S01;FX05-S02","Chỉ chủ tài khoản; safe security history; Explicit access session; một module, readonly, actual actor khác target","true"
"support.consent.grant","FX-05","COMMAND","CONTROL","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX05-S01","Owner verified; default24h/custom/until revoke; disclosure any qualified Admin; Explicit access session; một module, readonly, actual actor khác target","true"
"support.consent.revoke","FX-05","COMMAND","CONTROL","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX05-S02","Owner; chặn mọi derived session/request tiếp theo dù target module đang tắt; Explicit access session; một module, readonly, actual actor khác target","true"
"support.session.open","FX-05","COMMAND","ADMIN","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX05-S03","Admin qualified + target-module support-read grant + owner consent hiệu lực; không impersonate; Explicit access session; một module, readonly, actual actor khác target","true"
"support.session.end","FX-05","COMMAND","CONTROL","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX05-S03","Actual actor hoặc owner revoke; không cần target business write permission; Explicit access session; một module, readonly, actual actor khác target","true"
"support.emergency.open","FX-05","COMMAND","SUPER","false","Resolved delegated","Confirmed emergency rule; session policy Blocked Q-02","Security","Administrative","","FX05-S04","SuperAdmin; target/module; reason20..1000; audit+3-channel intent commit trước data; duration/recent-auth Q-02; Explicit access session; một module, readonly, actual actor khác target","true"
"support.emergency.end","FX-05","COMMAND","CONTROL","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX05-S05","Actual actor; không xóa audit/notification; Explicit access session; một module, readonly, actual actor khác target","true"
"notifications.inbox.read","FX-06","QUERY","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX06-S01;FX06-S02","Chỉ own inbox; fixed all3channels, không mute/quiet hours; Chỉ own inbox; fixed all3channels, không mute/quiet hours","true"
"notifications.inbox.mark_read","FX-06","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX06-S01","Owner; watermark không bao gồm notifications đến sau; Chỉ own inbox; fixed all3channels, không mute/quiet hours","true"
"notifications.inbox.mark_unread","FX-06","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX06-S01","Owner; watermark không bao gồm notifications đến sau; Chỉ own inbox; fixed all3channels, không mute/quiet hours","true"
"notifications.inbox.mark_all_read","FX-06","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX06-S01","Owner; watermark không bao gồm notifications đến sau; Chỉ own inbox; fixed all3channels, không mute/quiet hours","true"
"notifications.inbox.delete","FX-06","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX06-S01","Owner explicit IDs; không xóa audit/unsend delivery; Chỉ own inbox; fixed all3channels, không mute/quiet hours","true"
"notifications.source.open","FX-06","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX06-S02","Kèm action đọc của source; source revoked thì safe unavailable; Chỉ own inbox; fixed all3channels, không mute/quiet hours","true"
"notifications.push.subscribe","FX-06","COMMAND","CONTROL","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX06-S03","Own device/browser permission; không phải tùy chọn bỏ kênh bắt buộc; Chỉ own inbox; fixed all3channels, không mute/quiet hours","true"
"notifications.push.remove","FX-06","COMMAND","CONTROL","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","FX06-S03","Own device/browser permission; không phải tùy chọn bỏ kênh bắt buộc; Chỉ own inbox; fixed all3channels, không mute/quiet hours","true"
"notifications.dispatch.publish","FX-06","WORKER","SYSTEM","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","","Trusted intent; safe payload; dedupe, independent failure; no permission to arbitrary-send User content; Chỉ own inbox; fixed all3channels, không mute/quiet hours","true"
"notifications.dispatch.deliver","FX-06","WORKER","SYSTEM","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","","Trusted intent; safe payload; dedupe, independent failure; no permission to arbitrary-send User content; Chỉ own inbox; fixed all3channels, không mute/quiet hours","true"
"files.file.read","FX-07","QUERY","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX07-S01","Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ; Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ","true"
"files.file.upload","FX-07","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX07-S02","Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ; replacement không overwrite binary cũ; Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ","true"
"files.file.cancel_upload","FX-07","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX07-S02","Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ; replacement không overwrite binary cũ; Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ","true"
"files.file.rename","FX-07","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX07-S01","Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ; replacement không overwrite binary cũ; Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ","true"
"files.file.replace","FX-07","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX07-S05","Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ; replacement không overwrite binary cũ; Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ","true"
"files.file.preview","FX-07","QUERY","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Disclosure","Sensitive","","FX07-S03","Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ; owning source projection/lifecycle và credential riêng; không ambient Support; Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ","true"
"files.file.download","FX-07","QUERY","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Disclosure","Sensitive","","FX07-S03","Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ; owning source projection/lifecycle và credential riêng; không ambient Support; Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ","true"
"files.reference.attach","FX-07","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX07-S04","Source write action + FileReference/version atomic; historical pins còn nguyên; Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ","true"
"files.reference.detach","FX-07","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX07-S05","Source write action + FileReference/version atomic; historical pins còn nguyên; Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ","true"
"files.file.trash","FX-07","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX07-S01","Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ; preview aggregate, không purge; Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ","true"
"files.file.restore","FX-07","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX07-S01","Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ; đúng deletion cohort, parent hợp lệ; Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ","true"
"files.file.purge","FX-07","COMMAND","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Destructive","Administrative","","FX07-S01","Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ; chỉ Trash, preview pins/dependencies, xác nhận không thể hoàn tác; Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ","true"
"files.scan.complete","FX-07","WORKER","SYSTEM","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","","Authenticated scanner job, checksum/object match; không endpoint User set Clean; Own FileObject; Clean trước attach/preview/download; pins/current history được bảo vệ","true"
"lifecycle.trash.read","FX-08","QUERY","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX08-S01","Kèm read/trash projection của từng source, current module gate; Gateway không cấp quyền domain; dispatch đúng source contract","true"
"lifecycle.activity.read","FX-08","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX08-S03","Kèm source.read/history; không Support/link history; Gateway không cấp quyền domain; dispatch đúng source contract","true"
"lifecycle.resource.preview","FX-08","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX08-S01;FX08-S02","Bắt buộc source action tương ứng; parent lock, cohort và pins; không universal delete permission; Gateway không cấp quyền domain; dispatch đúng source contract","true"
"lifecycle.resource.trash","FX-08","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX08-S01","Bắt buộc source action tương ứng; parent lock, cohort và pins; không universal delete permission; Gateway không cấp quyền domain; dispatch đúng source contract","true"
"lifecycle.resource.restore","FX-08","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Lifecycle","Normal","","FX08-S01;FX08-S02","Bắt buộc source action tương ứng; parent lock, cohort và pins; không universal delete permission; Gateway không cấp quyền domain; dispatch đúng source contract","true"
"lifecycle.resource.purge","FX-08","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Destructive","Administrative","","FX08-S01;FX08-S02","Bắt buộc source action tương ứng; parent lock, cohort và pins; không universal delete permission; Gateway không cấp quyền domain; dispatch đúng source contract","true"
"lifecycle.audit.read","FX-08","QUERY","ADMIN","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Sensitive","Sensitive","","FX08-S04","Admin operational grant, không User content hoặc raw secret; Gateway không cấp quyền domain; dispatch đúng source contract","true"
"lifecycle.audit.append","FX-08","WORKER","SYSTEM","false","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Security","Administrative","","","Trusted audited transaction only; no edit/delete counterpart; Gateway không cấp quyền domain; dispatch đúng source contract","true"
"settings.preference.read","FX-09","QUERY","SELF","true","Resolved delegated","DEC-20260907-Q09 / INTERNAL","Normal","Normal","","FX09-S01;FX09-S04","Own nonsensitive preferences; no arbitrary JSON business data; Own nonsensitive preferences; no arbitrary JSON business data; UI vi default, explicit en preference; no currency/timezone/content translation; no external navigation","true"
"settings.preference.update","FX-09","COMMAND","SELF","true","Resolved delegated","DEC-20260907-Q09 / INTERNAL","Normal","Normal","","FX09-S02","Không đổi quyền/module grants; approved default views giữ nguyên; Own nonsensitive preferences; no arbitrary JSON business data; UI vi default, explicit en preference; no currency/timezone/content translation; no external navigation","true"
"settings.module.read","FX-09","COMPOSITE","SELF","true","Resolved delegated","DEC-20260907-Q09 / INTERNAL","Normal","Normal","","FX09-S03","Kèm target module/action; không plaintext credentials; Own nonsensitive preferences; no arbitrary JSON business data; UI vi default, explicit en preference; no currency/timezone/content translation; no external navigation","true"
"settings.module.update","FX-09","COMPOSITE","SELF","true","Resolved delegated","DEC-20260907-Q09 / INTERNAL","Normal","Normal","","FX09-S03","Target declared setting action required; không system policy/self-grant; Own nonsensitive preferences; no arbitrary JSON business data; UI vi default, explicit en preference; no currency/timezone/content translation; no external navigation","true"
"transfer.import.preview","FX-10","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX10-S01","Phải có source import action; schema/owner/dedupe; Project/Task importer không tồn tại; Provider-specific scope; không universal data dump","true"
"transfer.import.commit","FX-10","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX10-S02","Phải có source import action; schema/owner/dedupe; Project/Task importer không tồn tại; Provider-specific scope; không universal data dump","true"
"transfer.import.read","FX-10","QUERY","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX10-S04","Phải có source import action; schema/owner/dedupe; Project/Task importer không tồn tại; Provider-specific scope; không universal data dump","true"
"transfer.import.cancel","FX-10","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Normal","Normal","","FX10-S02","Phải có source import action; schema/owner/dedupe; Project/Task importer không tồn tại; Provider-specific scope; không universal data dump","true"
"transfer.export.request","FX-10","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Disclosure","Sensitive","","FX10-S03","Phải có source export action ở request/worker/download; không Support/Emergency; Provider-specific scope; không universal data dump","true"
"transfer.export.read","FX-10","QUERY","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Disclosure","Sensitive","","FX10-S04","Phải có source export action ở request/worker/download; không Support/Emergency; Provider-specific scope; không universal data dump","true"
"transfer.export.download","FX-10","COMPOSITE","SELF","true","Resolved delegated","Resolved delegated: action contract; source business rules unchanged","Disclosure","Sensitive","","FX10-S04","Phải có source export action ở request/worker/download; không Support/Emergency; Provider-specific scope; không universal data dump","true"
"transfer.backup.read","FX-10","QUERY","ADMIN","true","Blocked","Blocked Q-08","Normal","Normal","","FX10-S05","Operational metadata only; Provider-specific scope; không universal data dump","false"
"transfer.backup.request","FX-10","COMMAND","SUPER","false","Blocked","Blocked Q-08; key recovery Q-04","Operational","Administrative","","FX10-S05","SuperAdmin-only + separate approved recovery operation; không one-click live overwrite; Provider-specific scope; không universal data dump","false"
