Feature,ProductPhase,Delivery,GoalFile,GoalIDs,SourceFeature,SourceActions,SourceUX,State
FX-01,P01,RM05,modules/01-identity-and-profile.md,NXG-FX01-G01;NXG-FX01-G02;NXG-FX01-G03,docs/features/01-identity-and-profile.md,docs/action-catalog/modules/01-identity.md,docs/ux-ui/modules/01-identity-profile.md,Specified; implementation not approved; runtime not run
FX-31,P05,RM13,modules/31-shopping-records.md,NXG-FX31-G01;NXG-FX31-G02;NXG-FX31-G03,docs/features/31-shopping-records.md,docs/action-catalog/modules/31-shopping.md,docs/ux-ui/modules/31-shopping-records.md,Specified; implementation not approved; runtime not run
FX-32,P06,RM14,modules/32-developer-toolbox.md,NXG-FX32-G01;NXG-FX32-G02;NXG-FX32-G03,docs/features/32-developer-toolbox.md,docs/action-catalog/modules/32-toolbox.md,docs/ux-ui/modules/32-developer-toolbox.md,Specified; implementation not approved; runtime not run
FX-33,P06,RM14,modules/33-github-discovery.md,NXG-FX33-G01;NXG-FX33-G02;NXG-FX33-G03,docs/features/33-github-discovery.md,docs/action-catalog/modules/33-github.md,docs/ux-ui/modules/33-github-discovery.md,Specified; implementation not approved; runtime not run
FX-34,P06,RM14,modules/34-automation-and-scheduler.md,NXG-FX34-G01;NXG-FX34-G02;NXG-FX34-G03,docs/features/34-automation-and-scheduler.md,docs/action-catalog/modules/34-automation.md,docs/ux-ui/modules/34-automation.md,Specified; implementation not approved; runtime not run
FX-35,P06,RM14,modules/35-integrations-webhooks-and-n8n.md,NXG-FX35-G01;NXG-FX35-G02;NXG-FX35-G03,docs/features/35-integrations-webhooks-and-n8n.md,docs/action-catalog/modules/35-integrations.md,docs/ux-ui/modules/35-integrations-webhooks.md,Specified; implementation not approved; runtime not run
FX-36,P06,RM14,modules/36-monitoring-and-job-operations.md,NXG-FX36-G01;NXG-FX36-G02;NXG-FX36-G03,docs/features/36-monitoring-and-job-operations.md,docs/action-catalog/modules/36-monitoring.md,docs/ux-ui/modules/36-monitoring-jobs.md,Specified; implementation not approved; runtime not run
FX-37,P07,RM15,modules/37-personal-assets.md,NXG-FX37-G01;NXG-FX37-G02;NXG-FX37-G03,docs/features/37-personal-assets.md,docs/action-catalog/modules/37-assets.md,docs/ux-ui/modules/37-personal-assets.md,Specified; implementation not approved; runtime not run
FX-38,P07,RM15,modules/38-digital-assets.md,NXG-FX38-G01;NXG-FX38-G02;NXG-FX38-G03,docs/features/38-digital-assets.md,docs/action-catalog/modules/38-digital.md,docs/ux-ui/modules/38-digital-assets.md,Specified; implementation not approved; runtime not run
FX-39,P07,RM15,modules/39-career-and-resumes.md,NXG-FX39-G01;NXG-FX39-G02;NXG-FX39-G03,docs/features/39-career-and-resumes.md,docs/action-catalog/modules/39-career.md,docs/ux-ui/modules/39-career-jobs-resume.md,Specified; implementation not approved; runtime not run
FX-40,P07,RM15,modules/40-learning-and-work-log.md,NXG-FX40-G01;NXG-FX40-G02;NXG-FX40-G03,docs/features/40-learning-and-work-log.md,docs/action-catalog/modules/40-learning.md,docs/ux-ui/modules/40-learning.md,Specified; implementation not approved; runtime not run
